Fly,Line,Treatment ,Sex,Head Length ,Thorax Length,Thorax Width ,sum_size,overall_size,Lifespan
229,CD,Outbred,F,4.431,5.996,3.591,14.018,95.40667912,84
230,CD,Outbred,M,3.958,5.347,3.422,12.727,72.42124377,85
231,CD,Outbred,F,3.954,5.46,3.221,12.635,69.53765364,86
232,CD,Outbred,M,3.688,5.097,3.068,11.853,57.67145405,87
233,CD,Outbred,F,3.899,5.097,3.193,12.189,63.45513718,88
234,CD,Outbred,M,3.558,4.56,2.842,10.96,46.10997216,89
235,CD,Outbred,M,3.497,4.888,3.083,11.468,52.69875489,92
236,CD,Outbred,F,4.296,5.663,3.558,13.517,86.55990638,95
237,CD,Outbred,F,2.961,3.623,2.417,9.001,25.92885815,99
238,CD,Outbred,M,3.986,5.429,3.308,12.723,71.58510015,102
239,CD,Outbred,F,4.086,5.148,3.435,12.669,72.25429068,111
240,CD,Outbred,M,3.594,5.026,2.926,11.546,52.85363714,116
241,DE,Outbred,F,3.569,4.932,3.112,11.613,54.7783825,39
242,DE,Outbred,F,4.101,5.085,3.223,12.409,67.21110446,41
243,DE,Outbred,M,3.749,5.211,3.447,12.407,67.34072643,44
244,DE,Outbred,F,4.46,5.54,3.703,13.703,91.4952052,46
245,DE,Outbred,F,4.177,5.144,3.173,12.494,68.17662642,49
246,DE,Outbred,M,4.067,5.293,3.235,12.595,69.63865129,51
247,DE,Outbred,M,4.101,5.312,3.481,12.894,75.83188627,52
248,DE,Outbred,F,4.211,5.084,3.239,12.534,69.34285704,53
249,DE,Outbred,F,4.071,4.988,3.271,12.33,66.42141011,55
250,DE,Outbred,M,3.797,4.748,3.322,11.867,59.88953423,56
251,DE,Outbred,M,3.95,5.08,3.209,12.239,64.391794,58
252,DE,Outbred,F,4.113,5.299,3.31,12.722,72.14074497,59
253,DE,Outbred,F,3.886,5.096,3.123,12.105,61.84494389,60
254,DE,Outbred,M,3.912,5.105,3.265,12.282,65.2045314,61
255,DE,Outbred,M,3.872,5.222,3.195,12.289,64.60157088,62
256,DE,Outbred,F,4.329,5.681,3.409,13.419,83.83770404,65
257,DE,Outbred,M,4.184,5.743,3.743,13.67,89.93946902,66
258,DE,Outbred,F,3.86,5.149,3.178,12.187,63.16319492,67
259,DE,Outbred,M,3.746,4.905,2.958,11.609,54.35067654,68
260,DE,Outbred,F,4.2,5.466,3.602,13.268,82.6918344,69
261,DE,Outbred,M,4.04,5.221,3.369,12.63,71.06177796,75
262,DE,Outbred,M,4.33,5.45,3.622,13.402,85.473767,80
263,DE,Outbred,F,4.332,5.632,3.422,13.386,83.48935373,86
264,DE,Outbred,M,4.043,5.44,3.429,12.912,75.41715168,88
265,DE,Outbred,F,4.05,5.33,3.383,12.763,73.0271295,89
266,DE,Outbred,F,3.94,5.139,3.359,12.438,68.01188994,91
267,DE,Outbred,M,4.036,5.309,3.308,12.653,70.88092619,92
268,DE,Outbred,M,4.321,5.8,3.617,13.738,90.6485306,94
269,DE,Outbred,F,3.676,4.807,3.052,11.535,53.93046366,100
270,DE,Outbred,M,4.195,5.79,3.554,13.539,86.3232837,100
271,EA,Outbred,F,3.772,4.692,2.849,11.313,50.42224018,34
272,EA,Outbred,M,3.782,5.051,3.032,11.865,57.91993822,36
273,EA,Outbred,F,4.104,5.371,3.33,12.805,73.40180472,38
274,EA,Outbred,F,3.285,4.096,2.494,9.875,33.55766784,40
275,EA,Outbred,M,3.22,4.342,2.659,10.221,37.17611716,45
276,EA,Outbred,F,3.405,4.242,2.618,10.265,37.81441818,46
277,EA,Outbred,M,3.482,4.668,2.877,11.027,46.76268895,47
278,EA,Outbred,F,3.428,4.541,2.763,10.732,43.01037212,48
279,EA,Outbred,F,3.926,5.368,3.191,12.485,67.24958469,54
280,EA,Outbred,M,3.898,5.372,3.195,12.465,66.90347892,55
281,EA,Outbred,M,3.919,5.022,3.301,12.242,64.96770062,58
282,EA,Outbred,M,3.876,4.982,3.04,11.898,58.70310528,61
283,EA,Outbred,F,3.517,4.208,2.598,10.323,38.44919453,61
284,EA,Outbred,F,3.836,4.801,2.899,11.536,53.38982776,62
285,EA,Outbred,M,3.831,5.082,3.091,12.004,60.17911792,65
286,EA,Outbred,F,3.767,4.735,2.762,11.264,49.26508969,67
287,EA,Outbred,M,3.729,4.823,2.784,11.336,50.07014813,72
288,EA,Outbred,F,3.396,4.469,2.503,10.368,37.98734017,74
289,EA,Outbred,F,4.234,5.497,3.094,12.825,72.01067801,78
290,EA,Outbred,F,4.035,5.017,2.947,11.999,59.65787447,78
291,EA,Outbred,F,3.556,4.372,2.883,10.811,44.82151666,80
292,EA,Outbred,M,4.124,5.42,3.008,12.552,67.23505664,83
293,EA,Outbred,F,3.516,4.378,2.599,10.493,40.00653175,85
294,EA,Outbred,M,4.12,5.202,3.26,12.582,69.8691024,89
295,EA,Outbred,M,3.444,4.575,2.529,10.548,39.8476827,93
296,EA,Outbred,M,3.57,5.074,3.193,11.837,57.83857674,96
297,EA,Outbred,F,4.183,5.321,2.852,12.356,63.47908304,100
298,EA,Outbred,M,3.858,5.14,3.018,12.016,59.84730216,103
299,EA,Outbred,M,3.46,4.386,2.578,10.424,39.12259368,113
300,EA,Outbred,M,3.869,4.923,3.09,11.882,58.85549883,114
